ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,CF1,CF1NAME,CF2,CF2NAME,CF3,CF3NAME,CITY,CITYNAME,COUNTY,COUNTYNAME,CaseYear,DAY,DAY_WEEK,DAY_WEEKNAME,DRUNK_DR,FATALS,FUNC_SYS,FUNC_SYSNAME,HARM_EV,HARM_EVNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,HOUR,HOURNAME,LATITUDE,LATITUDENAME,LGT_COND,LGT_CONDNAME,LONGITUD,LONGITUDNAME,MAN_COLL,MAN_COLLNAME,MILEPT,MILEPTNAME,MINUTE,MINUTENAME,MONTH,MonthName,NHS,NHSNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,PEDS,PERMVIT,PERNOTMVIT,PERSONS,PVH_INVL,ParkWorks,RAIL,RAILNAME,RD_OWNER,RD_OWNERNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,REL_ROAD,REL_ROADNAME,ROAD_FNC,ROAD_FNCNAME,ROUTE,ROUTENAME,RUR_URB,RUR_URBNAME,SCH_BUS,SCH_BUSNAME,SP_JUR,SP_JURNAME,STATENAME,ST_CASE,State,TWAY_ID,TWAY_ID2,TYP_INT,TYP_INTNAME,VE_FORMS,VE_TOTAL,WEATHER,WEATHER1,WEATHER1NAME,WEATHER2,WEATHER2NAME,WEATHERNAME,WRK_ZONE,WRK_ZONENAME,YEAR
16,4:00pm-4:59pm,42,42,0,None,0,None,0,None,4600,OYSTER BAY,59,NASSAU (59),2019,27,3,Tuesday,0,1,7,Local,9,Pedalcyclist,17,5:00pm-5:59pm,22,22,16,4:00pm-4:59pm,40.70304444,40.70304444,1,Daylight,-73.444561110,-73.444561110,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,99999,Unknown,40,40,8,August,0,This section IS NOT on the NHS,16,4:00pm-4:59pm,41,41,1,1,1,1,0,,0000000,Not Applicable,3,Town or Township Highway Agency,0,No,3,Intersection-Related ,1,On Roadway,,,5,Local Street - Township,2,Urban,0,No,0,No Special Jurisdiction,New York,360518,36,LINDEN ST,OAKDALE AVE,2,Four-Way Intersection,1,1,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2019
21,9:00pm-9:59pm,59,59,0,None,0,None,0,None,4600,OYSTER BAY,59,NASSAU (59),2019,27,3,Tuesday,0,1,7,Local,8,Pedestrian,22,10:00pm-10:59pm,15,15,21,9:00pm-9:59pm,40.75206944,40.75206944,3,Dark - Lighted,-73.483016670,-73.483016670,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,None,50,50,8,August,0,This section IS NOT on the NHS,21,9:00pm-9:59pm,55,55,1,1,1,1,0,,0000000,Not Applicable,3,Town or Township Highway Agency,0,No,3,Intersection-Related ,1,On Roadway,,,5,Local Street - Township,2,Urban,0,No,0,No Special Jurisdiction,New York,360519,36,STEWART AVE,MAPLE AVE,2,Four-Way Intersection,1,1,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2019
15,3:00pm-3:59pm,32,32,0,None,0,None,0,None,2600,HEMPSTEAD,59,NASSAU (59),2010,19,2,Monday,0,1,,,12,Motor Vehicle In-Transport ,15,3:00pm-3:59pm,40,40,15,3:00pm-3:59pm,40.72508056,40.72508056,1,Daylight,-73.550866670,-73.550866670,6,Angle ,0,None,25,25,7,July,0,This section IS NOT on the NHS,15,3:00pm-3:59pm,31,31,0,,,3,,,0000000,Not Applicable,,,0,No,2,Intersection,1,On Roadway,13,Urban-Other Principal Arterial,6,Local Street - Municipality,,,0,No,0,No Special Jurisdiction,New York,360519,36,HEMPSTEAD TPK,CLEARMEADOW DR,2,Four-Way Intersection,2,2,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2010
0,0:00am-0:59am,3,3,0,None,0,None,0,None,2600,HEMPSTEAD,59,NASSAU (59),2019,31,7,Saturday,1,1,2,Principal Arterial - Other Freeways and Expressways,12,Motor Vehicle In-Transport ,0,0:00am-0:59am,20,20,23,11:00pm-11:59pm,40.68328611,40.68328611,3,Dark - Lighted,-73.680480560,-73.680480560,7,Sideswipe - Same Direction,99999,Unknown,6,6,8,August,1,This section IS ON the NHS,23,11:00pm-11:59pm,6,6,0,2,0,2,0,,0000000,Not Applicable,1,State Highway Agency,0,No,1,Non-Junction,1,On Roadway,,,3,State Highway,2,Urban,0,No,0,No Special Jurisdiction,New York,360526,36,SR-908M,,1,Not an Intersection,2,2,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2019
0,0:00am-0:59am,20,20,0,None,0,None,0,None,4600,OYSTER BAY,59,NASSAU (59),2019,19,6,Friday,0,1,2,Principal Arterial - Other Freeways and Expressways,12,Motor Vehicle In-Transport ,0,0:00am-0:59am,41,41,0,0:00am-0:59am,40.70513611,40.70513611,3,Dark - Lighted,-73.474275000,-73.474275000,1,Front-to-Rear ,99999,Unknown,10,10,4,April,1,This section IS ON the NHS,0,0:00am-0:59am,10,10,0,3,0,3,0,,0000000,Not Applicable,1,State Highway Agency,0,No,1,Non-Junction,1,On Roadway,,,3,State Highway,2,Urban,0,No,0,No Special Jurisdiction,New York,360527,36,SR-908M,,1,Not an Intersection,2,2,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2019
99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,0,None,0,None,0,None,4600,OYSTER BAY,59,NASSAU (59),2015,1,4,Wednesday,0,1,3,Principal Arterial - Other,12,Motor Vehicle In-Transport ,99,Unknown,99,Unknown EMS Hospital Arrival Time,6,6:00am-6:59am,40.67725000,40.67725000,1,Daylight,-73.456347220,-73.456347220,6,Angle ,0,None,50,50,4,April,1,This section IS ON the NHS,99,Unknown,99,Unknown,0,2,0,2,0,,0000000,Not Applicable,1,State Highway Agency,0,No,2,Intersection,1,On Roadway,,,3,State Highway,2,Urban,0,No,0,No Special Jurisdiction,New York,360527,36,SR-27 SUNRISE HWY,PARK BLVD,2,Four-Way Intersection,2,2,10,10,Cloudy,0,No Additional Atmospheric Conditions,Cloudy,0,None,2015
99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,0,None,0,None,0,None,4286,NORTH MASSAPEQUA,59,NASSAU (59),2015,4,2,Monday,0,1,7,Local,14,Parked Motor Vehicle ,99,Unknown,99,Unknown EMS Hospital Arrival Time,11,11:00am-11:59am,40.69605000,40.69605000,1,Daylight,-73.463827780,-73.463827780,0,Not a Collision with Motor Vehicle In-Transport,0,None,25,25,5,May,0,This section IS NOT on the NHS,99,Unknown,99,Unknown,0,1,0,1,3,,0000000,Not Applicable,3,Town or Township Highway Agency,0,No,3,Intersection-Related ,7,In Parking Lane/Zone,,,6,Local Street - Municipality,2,Urban,0,No,0,No Special Jurisdiction,New York,360528,36,N BROADWAY,N KINGS AVE,3,T-Intersection,1,4,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2015
99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,0,None,0,None,0,None,2600,HEMPSTEAD,59,NASSAU (59),2019,23,1,Sunday,0,2,2,Principal Arterial - Other Freeways and Expressways,12,Motor Vehicle In-Transport ,88,Not Applicable (Not Transported) ,88,Not Applicable (Not Transported),0,0:00am-0:59am,40.75142500,40.75142500,3,Dark - Lighted,-73.548452780,-73.548452780,1,Front-to-Rear ,99998,Not Reported,54,54,6,June,1,This section IS ON the NHS,99,Unknown,99,Unknown,0,4,0,4,0,,0000000,Not Applicable,1,State Highway Agency,0,No,1,Non-Junction,1,On Roadway,,,3,State Highway,2,Urban,0,No,0,No Special Jurisdiction,New York,360528,36,SR-908T,,1,Not an Intersection,2,2,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2019
12,12:00pm-12:59pm,35,35,0,None,0,None,0,None,4450,OLD WESTBURY,59,NASSAU (59),2010,31,7,Saturday,0,1,,,9,Pedalcyclist,99,Unknown,99,Unknown EMS Hospital Arrival Time,12,12:00pm-12:59pm,40.77982778,40.77982778,1,Daylight,-73.576833330,-73.576833330,0,Not a Collision with Motor Vehicle In-Transport,0,None,17,17,7,July,0,This section IS NOT on the NHS,12,12:00pm-12:59pm,15,15,1,,,2,,,0000000,Not Applicable,,,0,No,2,Intersection,1,On Roadway,16,Urban-Local Road or Street,5,Local Street - Township,,,0,No,0,No Special Jurisdiction,New York,360529,36,STOREHILL RD S,POWELLS LN,2,Four-Way Intersection,1,1,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2010
23,11:00pm-11:59pm,30,30,0,None,0,None,0,None,4090,NEW HYDE PARK,59,NASSAU (59),2014,19,3,Tuesday,0,1,,,12,Motor Vehicle In-Transport ,99,Unknown,99,Unknown EMS Hospital Arrival Time,23,11:00pm-11:59pm,40.72939167,40.72939167,3,Dark - Lighted,-73.687308330,-73.687308330,6,Angle ,0,None,25,25,8,August,0,This section IS NOT on the NHS,23,11:00pm-11:59pm,28,28,0,9,0,9,0,,0000000,Not Applicable,,,0,No,2,Intersection,1,On Roadway,16,Urban-Local Road or Street,6,Local Street - Municipality,,,0,No,0,No Special Jurisdiction,New York,360533,36,COVERT AVE,2ND AVE,2,Four-Way Intersection,2,2,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2014
99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,0,None,0,None,0,None,4090,NEW HYDE PARK,59,NASSAU (59),2016,26,6,Friday,0,1,7,Local,42,Tree (Standing Only),13,1:00pm-1:59pm,50,50,13,1:00pm-1:59pm,40.77046667,40.77046667,1,Daylight,-73.689397220,-73.689397220,0,Not a Collision with Motor Vehicle In-Transport,0,None,30,30,8,August,0,This section IS NOT on the NHS,13,1:00pm-1:59pm,30,30,0,1,0,1,0,,0000000,Not Applicable,3,Town or Township Highway Agency,0,No,1,Non-Junction,10,Separator,,,5,Local Street - Township,1,Rural,0,No,0,No Special Jurisdiction,New York,360533,36,NORTH SERVICE RD,,1,Not an Intersection,1,1,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2016
3,3:00am-3:59am,40,40,0,None,0,None,0,None,4090,NEW HYDE PARK,59,NASSAU (59),2019,2,2,Monday,0,2,2,Principal Arterial - Other Freeways and Expressways,24,Guardrail Face,88,Not Applicable (Not Transported) ,88,Not Applicable (Not Transported),3,3:00am-3:59am,40.77123611,40.77123611,3,Dark - Lighted,-73.567447220,-73.567447220,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,None,28,28,9,September,1,This section IS ON the NHS,3,3:00am-3:59am,28,28,0,2,0,2,0,,0000000,Not Applicable,1,State Highway Agency,1,Yes,5,Entrance/Exit Ramp Related,4,On Roadside,,,3,State Highway,2,Urban,0,No,0,No Special Jurisdiction,New York,360538,36,SR-908T WANTAGH STATE PKY RAMP,,1,Not an Intersection,1,1,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2019
99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,0,None,0,None,0,None,4090,NEW HYDE PARK,59,NASSAU (59),2014,22,3,Tuesday,1,1,,,39,Wall,4,4:00am-4:59am,20,20,3,3:00am-3:59am,40.76156667,40.76156667,3,Dark - Lighted,-73.595308330,-73.595308330,0,Not a Collision with Motor Vehicle In-Transport,0,None,57,57,7,July,1,This section IS ON the NHS,99,Unknown,99,Unknown,0,2,0,2,0,,0000000,Not Applicable,,,0,No,1,Non-Junction,4,On Roadside,12,Urban-Principal Arterial-Other Freeways or Expressways,3,State Highway,,,0,No,0,No Special Jurisdiction,New York,360539,36,SR-908G,,1,Not an Intersection,1,1,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2014
99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,0,None,0,None,0,None,2600,HEMPSTEAD,59,NASSAU (59),2014,25,2,Monday,0,2,,,12,Motor Vehicle In-Transport ,99,Unknown,99,Unknown EMS Hospital Arrival Time,13,1:00pm-1:59pm,40.70604167,40.70604167,1,Daylight,-73.540825000,-73.540825000,2,Front-to-Front,0,None,53,53,8,August,0,This section IS NOT on the NHS,99,Unknown,99,Unknown,0,5,0,5,0,,0000000,Not Applicable,,,0,No,3,Intersection-Related ,1,On Roadway,16,Urban-Local Road or Street,6,Local Street - Municipality,,,0,No,0,No Special Jurisdiction,New York,360541,36,N JERRUSALEM RD,ROXBORO CT,2,Four-Way Intersection,2,2,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2014
20,8:00pm-8:59pm,50,50,0,None,0,None,0,None,2600,HEMPSTEAD,59,NASSAU (59),2015,16,1,Sunday,1,1,2,Principal Arterial - Other Freeways and Expressways,12,Motor Vehicle In-Transport ,21,9:00pm-9:59pm,0,0,20,8:00pm-8:59pm,40.70862222,40.70862222,3,Dark - Lighted,-73.578911110,-73.578911110,1,Front-to-Rear ,0,None,41,41,8,August,1,This section IS ON the NHS,20,8:00pm-8:59pm,41,41,0,2,0,2,0,,0000000,Not Applicable,1,State Highway Agency,0,No,1,Non-Junction,1,On Roadway,,,3,State Highway,2,Urban,0,No,0,No Special Jurisdiction,New York,360544,36,SR-908E MEADOWBROOK PKWY,,1,Not an Intersection,2,2,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2015
99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,0,None,0,None,0,None,4600,OYSTER BAY,59,NASSAU (59),2012,16,2,Monday,0,1,,,8,Pedestrian,88,Not Applicable (Not Transported) ,88,Not Applicable (Not Transported),20,8:00pm-8:59pm,40.66936389,40.66936389,3,Dark - Lighted,-73.432402780,-73.432402780,0,Not a Collision with Motor Vehicle In-Transport,0,None,45,45,7,July,0,This section IS NOT on the NHS,99,Unknown,99,Unknown,1,1,1,1,0,,0000000,Not Applicable,,,0,No,3,Intersection-Related ,1,On Roadway,14,Urban-Minor Arterial,6,Local Street - Municipality,,,0,No,0,No Special Jurisdiction,New York,360547,36,MERRICK RD,CARMAN MILL RD,3,T-Intersection,1,1,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2012
99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,0,None,0,None,0,None,533,BETHPAGE,59,NASSAU (59),2016,18,2,Monday,0,1,6,Minor Collector,42,Tree (Standing Only),99,Unknown,99,Unknown EMS Hospital Arrival Time,13,1:00pm-1:59pm,40.73241667,40.73241667,1,Daylight,-73.481455560,-73.481455560,0,Not a Collision with Motor Vehicle In-Transport,0,None,20,20,1,January,0,This section IS NOT on the NHS,99,Unknown,99,Unknown,0,2,0,2,0,,0000000,Not Applicable,3,Town or Township Highway Agency,0,No,1,Non-Junction,4,On Roadside,,,5,Local Street - Township,2,Urban,0,No,0,No Special Jurisdiction,New York,360547,36,STEWART AVE,,1,Not an Intersection,1,1,10,10,Cloudy,0,No Additional Atmospheric Conditions,Cloudy,0,None,2016
99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,0,None,0,None,0,None,4600,OYSTER BAY,59,NASSAU (59),2016,9,7,Saturday,0,1,7,Local,8,Pedestrian,99,Unknown,99,Unknown EMS Hospital Arrival Time,18,6:00pm-6:59pm,40.72324722,40.72324722,2,Dark - Not Lighted,-73.441930560,-73.441930560,0,Not a Collision with Motor Vehicle In-Transport,0,None,16,16,1,January,0,This section IS NOT on the NHS,99,Unknown,99,Unknown,1,4,1,4,0,,0000000,Not Applicable,3,Town or Township Highway Agency,0,No,3,Intersection-Related ,1,On Roadway,,,5,Local Street - Township,2,Urban,0,No,0,No Special Jurisdiction,New York,360549,36,MAIN ST,MARION ST,3,T-Intersection,1,1,10,10,Cloudy,0,No Additional Atmospheric Conditions,Cloudy,0,None,2016
99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,0,None,0,None,0,None,4600,OYSTER BAY,59,NASSAU (59),2010,2,4,Wednesday,0,1,,,12,Motor Vehicle In-Transport ,99,Unknown,99,Unknown EMS Hospital Arrival Time,11,11:00am-11:59am,40.75719722,40.75719722,1,Daylight,-73.546869440,-73.546869440,6,Angle ,0,None,40,40,6,June,0,This section IS NOT on the NHS,99,Unknown,99,Unknown,0,,,3,,,0000000,Not Applicable,,,0,No,2,Intersection,1,On Roadway,14,Urban-Minor Arterial,5,Local Street - Township,,,0,No,0,No Special Jurisdiction,New York,360549,36,OLD COUNTRY RD,APEX LN,3,T-Intersection,2,2,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2010
15,3:00pm-3:59pm,42,42,0,None,0,None,0,None,4450,OLD WESTBURY,59,NASSAU (59),2011,31,1,Sunday,0,1,,,1,Rollover/Overturn,99,Unknown,99,Unknown EMS Hospital Arrival Time,15,3:00pm-3:59pm,40.78343333,40.78343333,1,Daylight,-73.591200000,-73.591200000,0,Not a Collision with Motor Vehicle In-Transport,0,None,37,37,7,July,1,This section IS ON the NHS,15,3:00pm-3:59pm,37,37,0,5,0,5,0,,0000000,Not Applicable,,,0,No,1,Non-Junction,1,On Roadway,1,Rural-Principal Arterial-Interstate,1,Interstate,,,0,No,0,No Special Jurisdiction,New York,360550,36,I-495,,1,Not an Intersection,1,1,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2011
2,2:00am-2:59am,54,54,0,None,0,None,0,None,4090,NEW HYDE PARK,59,NASSAU (59),2019,19,6,Friday,1,2,2,Principal Arterial - Other Freeways and Expressways,42,Tree (Standing Only),99,Unknown,99,Unknown EMS Hospital Arrival Time,2,2:00am-2:59am,40.76625278,40.76625278,3,Dark - Lighted,-73.691038890,-73.691038890,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,None,54,54,7,July,1,This section IS ON the NHS,2,2:00am-2:59am,54,54,0,2,0,2,0,,0000000,Not Applicable,1,State Highway Agency,1,Yes,5,Entrance/Exit Ramp Related,4,On Roadside,,,3,State Highway,2,Urban,0,No,0,No Special Jurisdiction,New York,360550,36,SR-908G NORTHERN STATE PKWY,,1,Not an Intersection,1,1,10,10,Cloudy,0,No Additional Atmospheric Conditions,Cloudy,0,None,2019
0,0:00am-0:59am,10,10,0,None,0,None,0,None,4600,OYSTER BAY,59,NASSAU (59),2018,14,6,Friday,0,1,3,Principal Arterial - Other,8,Pedestrian,88,Not Applicable (Not Transported) ,88,Not Applicable (Not Transported),0,0:00am-0:59am,40.76886111,40.76886111,3,Dark - Lighted,-73.527919440,-73.527919440,0,Not a Collision with Motor Vehicle In-Transport,0,None,5,5,9,September,0,This section IS NOT on the NHS,0,0:00am-0:59am,6,6,1,1,1,1,0,,0000000,Not Applicable,3,Town or Township Highway Agency,0,No,3,Intersection-Related ,1,On Roadway,,,3,State Highway,2,Urban,0,No,0,No Special Jurisdiction,New York,360550,36,SR-106,W JOHN ST,2,Four-Way Intersection,1,1,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2018
99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,0,None,0,None,0,None,4600,OYSTER BAY,59,NASSAU (59),2018,28,2,Monday,0,1,2,Principal Arterial - Other Freeways and Expressways,1,Rollover/Overturn,99,Unknown,99,Unknown EMS Hospital Arrival Time,11,11:00am-11:59am,40.76772778,40.76772778,1,Daylight,-73.571688890,-73.571688890,0,Not a Collision with Motor Vehicle In-Transport,99998,Not Reported,5,5,5,May,1,This section IS ON the NHS,99,Unknown,99,Unknown,0,1,0,1,0,,0000000,Not Applicable,1,State Highway Agency,0,No,1,Non-Junction,4,On Roadside,,,3,State Highway,2,Urban,0,No,0,No Special Jurisdiction,New York,360557,36,SR-908G,,1,Not an Intersection,1,1,10,10,Cloudy,0,No Additional Atmospheric Conditions,Cloudy,0,None,2018
0,0:00am-0:59am,26,26,0,None,0,None,0,None,4600,OYSTER BAY,59,NASSAU (59),2010,7,7,Saturday,0,1,,,12,Motor Vehicle In-Transport ,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,0:00am-0:59am,40.78104722,40.78104722,2,Dark - Not Lighted,-73.562050000,-73.562050000,1,Front-to-Rear ,99,99,10,10,8,August,1,This section IS ON the NHS,0,0:00am-0:59am,24,24,0,,,3,,,0000000,Not Applicable,,,0,No,1,Non-Junction,1,On Roadway,13,Urban-Other Principal Arterial,3,State Highway,,,0,No,0,No Special Jurisdiction,New York,360557,36,SR-25,,1,Not an Intersection,2,2,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2010
21,9:00pm-9:59pm,24,24,23,Indication of a Stalled/Disabled Vehicle,0,None,0,None,1020,CEDARHURST,59,NASSAU (59),2011,3,4,Wednesday,0,1,,,8,Pedestrian,22,10:00pm-10:59pm,0,0,21,9:00pm-9:59pm,40.62218611,40.62218611,3,Dark - Lighted,-73.723058330,-73.723058330,0,Not a Collision with Motor Vehicle In-Transport,0,None,15,15,8,August,0,This section IS NOT on the NHS,21,9:00pm-9:59pm,20,20,2,1,2,1,2,,0000000,Not Applicable,,,0,No,1,Non-Junction,1,On Roadway,15,Urban-Collector,5,Local Street - Township,,,0,No,0,No Special Jurisdiction,New York,360559,36,CENTRAL AVE,,1,Not an Intersection,1,3,2,2,Rain,0,No Additional Atmospheric Conditions,Rain,0,None,2011
99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,0,None,0,None,0,None,6250,VALLEY STREAM,59,NASSAU (59),2018,24,5,Thursday,1,1,7,Local,12,Motor Vehicle In-Transport ,99,Unknown,99,Unknown EMS Hospital Arrival Time,19,7:00pm-7:59pm,40.65382222,40.65382222,1,Daylight,-73.696936110,-73.696936110,6,Angle ,0,None,18,18,5,May,0,This section IS NOT on the NHS,99,Unknown,99,Unknown,0,3,0,3,0,,0000000,Not Applicable,3,Town or Township Highway Agency,0,No,2,Intersection,1,On Roadway,,,5,Local Street - Township,2,Urban,0,No,0,No Special Jurisdiction,New York,360559,36,ROCKAWAY AVE,DUBOIS AVE,3,T-Intersection,2,2,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2018
5,5:00am-5:59am,35,35,0,None,0,None,0,None,2160,FREEPORT,59,NASSAU (59),2016,29,2,Monday,0,1,3,Principal Arterial - Other,12,Motor Vehicle In-Transport ,99,Unknown,99,Unknown EMS Hospital Arrival Time,5,5:00am-5:59am,40.65717222,40.65717222,3,Dark - Lighted,-73.576075000,-73.576075000,1,Front-to-Rear ,0,None,30,30,8,August,0,This section IS NOT on the NHS,5,5:00am-5:59am,30,30,0,3,0,3,0,,0000000,Not Applicable,1,State Highway Agency,0,No,3,Intersection-Related ,1,On Roadway,,,3,State Highway,2,Urban,0,No,0,No Special Jurisdiction,New York,360560,36,SR-27,HELEN AVE,2,Four-Way Intersection,2,2,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2016
0,0:00am-0:59am,9,9,0,None,0,None,0,None,4090,NEW HYDE PARK,59,NASSAU (59),2014,15,6,Friday,1,1,,,8,Pedestrian,99,Unknown,99,Unknown EMS Hospital Arrival Time,23,11:00pm-11:59pm,40.83071111,40.83071111,3,Dark - Lighted,-73.686769440,-73.686769440,0,Not a Collision with Motor Vehicle In-Transport,0,None,57,57,8,August,0,This section IS NOT on the NHS,0,0:00am-0:59am,0,0,1,1,1,1,0,,0000000,Not Applicable,,,0,No,3,Intersection-Related ,1,On Roadway,16,Urban-Local Road or Street,5,Local Street - Township,,,0,No,0,No Special Jurisdiction,New York,360563,36,MAIN ST,BAYLES AVE,2,Four-Way Intersection,1,1,10,10,Cloudy,0,No Additional Atmospheric Conditions,Cloudy,0,None,2014
15,3:00pm-3:59pm,55,55,0,None,0,None,0,None,2600,HEMPSTEAD,59,NASSAU (59),2014,30,7,Saturday,1,1,,,42,Tree (Standing Only),16,4:00pm-4:59pm,18,18,15,3:00pm-3:59pm,40.73261944,40.73261944,1,Daylight,-73.554477780,-73.554477780,0,Not a Collision with Motor Vehicle In-Transport,0,None,50,50,8,August,0,This section IS NOT on the NHS,15,3:00pm-3:59pm,51,51,0,1,0,1,0,,0000000,Not Applicable,,,0,No,1,Non-Junction,4,On Roadside,16,Urban-Local Road or Street,6,Local Street - Municipality,,,0,No,0,No Special Jurisdiction,New York,360565,36,CARMAN AVE,,1,Not an Intersection,1,1,10,10,Cloudy,0,No Additional Atmospheric Conditions,Cloudy,0,None,2014
10,10:00am-10:59am,21,21,0,None,0,None,0,None,4090,NEW HYDE PARK,59,NASSAU (59),2011,19,3,Tuesday,0,1,,,12,Motor Vehicle In-Transport ,11,11:00am-11:59am,14,14,10,10:00am-10:59am,40.77138611,40.77138611,1,Daylight,-73.563422220,-73.563422220,7,Sideswipe - Same Direction,0,None,20,20,4,April,1,This section IS ON the NHS,10,10:00am-10:59am,21,21,0,5,0,5,0,,0000000,Not Applicable,,,0,No,1,Non-Junction,1,On Roadway,12,Urban-Principal Arterial-Other Freeways or Expressways,3,State Highway,,,0,No,0,No Special Jurisdiction,New York,360566,36,SR-908G,,1,Not an Intersection,2,2,2,2,Rain,0,No Additional Atmospheric Conditions,Rain,0,None,2011
22,10:00pm-10:59pm,18,18,0,None,0,None,0,None,4090,NEW HYDE PARK,59,NASSAU (59),2010,18,4,Wednesday,0,1,,,8,Pedestrian,88,Not Applicable (Not Transported) ,88,Not Applicable (Not Transported),22,10:00pm-10:59pm,40.75141944,40.75141944,3,Dark - Lighted,-73.569625000,-73.569625000,0,Not a Collision with Motor Vehicle In-Transport,0,None,15,15,8,August,0,This section IS NOT on the NHS,22,10:00pm-10:59pm,16,16,1,,,1,,,0000000,Not Applicable,,,0,No,2,Intersection,1,On Roadway,14,Urban-Minor Arterial,5,Local Street - Township,,,0,No,0,No Special Jurisdiction,New York,360566,36,OLD COUNTRY RD,CARLETON ST,3,T-Intersection,1,1,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2010
99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,0,None,0,None,0,None,4600,OYSTER BAY,59,NASSAU (59),2012,23,2,Monday,0,1,,,50,Bridge Overhead Structure,99,Unknown,99,Unknown EMS Hospital Arrival Time,15,3:00pm-3:59pm,40.87878333,40.87878333,1,Daylight,-73.581563890,-73.581563890,0,Not a Collision with Motor Vehicle In-Transport,0,None,15,15,7,July,0,This section IS NOT on the NHS,99,Unknown,99,Unknown,0,7,0,7,0,,0000000,Not Applicable,,,0,No,1,Non-Junction,1,On Roadway,16,Urban-Local Road or Street,6,Local Street - Municipality,,,1,Yes,0,No Special Jurisdiction,New York,360566,36,OYSTER BAY RD,,1,Not an Intersection,2,2,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2012
21,9:00pm-9:59pm,5,5,0,None,0,None,0,None,2600,HEMPSTEAD,59,NASSAU (59),2015,15,7,Saturday,1,1,2,Principal Arterial - Other Freeways and Expressways,12,Motor Vehicle In-Transport ,21,9:00pm-9:59pm,30,30,20,8:00pm-8:59pm,40.62039444,40.62039444,2,Dark - Not Lighted,-73.501472220,-73.501472220,6,Angle ,0,None,56,56,8,August,1,This section IS ON the NHS,20,8:00pm-8:59pm,56,56,0,7,0,7,0,,0000000,Not Applicable,1,State Highway Agency,0,No,1,Non-Junction,1,On Roadway,,,3,State Highway,2,Urban,0,No,0,No Special Jurisdiction,New York,360567,36,SR-908T WANTAGH PKWY,,1,Not an Intersection,2,2,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2015
